country_code,year,ucdp_events
VEN,2006,21
VEN,2011,1
VEN,2013,1
VEN,2017,16
VEN,2019,6
YEM,1994,72
YEM,2003,1
YEM,2004,1
YEM,2009,5
YEM,2010,63
YEM,2011,213
YEM,2012,249
YEM,2013,126
YEM,2014,271
YEM,2015,509
YEM,2016,318
YEM,2017,320
YEM,2018,336
YEM,2019,173
YUG,1991,250
YUG,1992,83
YUG,1996,3
YUG,1997,5
YUG,1998,221
YUG,1999,346
ZIM,1995,2
ZIM,1998,1
ZIM,1999,2
ZIM,2001,1
ZIM,2003,1
ZIM,2007,2
ZIM,2008,40
ZIM,2009,1
ZIM,2011,1
ZIM,2012,1
ZIM,2018,2
ZIM,2019,8
